date,selectedRank,playerName,teamCode,gameKey,market,side,tier,month,modelLine,lineBucket,actualValue,modelCorrect,estimatedAccuracyPriorPct,priorBucket,finalScore,finalScoreBucket,matchStatus,strictProofMatch,candidateCount,sameSideCount,lineMatchCount,externalLine,externalOdds,priceBucket,externalBook,externalSource,externalSourceUrl,lineTimestampUtc,gameTimeUtc,closeLine,closeOdds,closeTimestampUtc,resultAtExternalLine,stakeUnits,profitUnits,lineClv,oddsClv,coverageTier,coverageLine,coverageOdds,coverageBook,coverageSource,coverageSourceUrl,coverageIsExternal,coverageIsExactExternal,coverageLineGap,coverageAbsLineGap,coverageSideAwareLineGap,resultAtCoverageLine,coverageStakeUnits,coverageProfitUnits
2025-10-31,5,Mark Williams,PHX,0022500025,AST,UNDER,S,2025-10,1.5,<5,0.0,True,93.7,92-94,0.778006,0.75-0.80,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,1.5,-150.0,-199 to -150,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483910&market=assists,,,,,,WIN,1.0,0.666667,,,EXACT_EXTERNAL_LINE_VALID_ODDS,1.5,-150.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483910&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,0.666667
2025-10-31,6,VJ Edgecombe,PHI,0022500021,PTS,UNDER,A,2025-10,17.5,15-19.5,17.0,True,91.06,90-92,0.921656,0.90+,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,17.5,-115.0,-119 to -100,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483830&market=points,,,,,,WIN,1.0,0.869565,,,EXACT_EXTERNAL_LINE_VALID_ODDS,17.5,-115.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483830&market=points,True,True,0.0,0.0,0.0,WIN,1.0,0.869565
2025-11-01,1,Josh Okogie,HOU,0022500146,PTS,OVER,S,2025-11,8.5,5-9.5,12.0,True,93.7,92-94,0.84795,0.80-0.85,NO_EXACT_LINE_MATCH,False,2,1,0,7.5,-130.0,-149 to -120,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494590&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,7.5,-130.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494590&market=points,True,False,-1.0,1.0,-1.0,WIN,1.0,0.769231
2025-11-01,2,CJ McCollum,WAS,0022500145,PTS,UNDER,A,2025-11,15.5,15-19.5,13.0,True,91.06,90-92,0.915902,0.90+,NO_EXACT_LINE_MATCH,False,2,1,0,16.5,-115.0,-119 to -100,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494470&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,16.5,-115.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494470&market=points,True,False,1.0,1.0,-1.0,WIN,1.0,0.869565
2025-11-01,3,Nique Clifford,SAC,0022500142,AST,UNDER,A,2025-11,0.5,<5,0.0,True,90.71,90-92,0.903545,0.90+,NO_EXACT_LINE_MATCH,False,2,1,0,1.5,140.0,+100 to +149,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494410&market=assists,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,1.5,140.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494410&market=assists,True,False,1.0,1.0,-1.0,WIN,1.0,1.4
2025-11-01,4,Jarace Walker,IND,0022500144,PRA,UNDER,A,2025-11,24.5,20-24.5,20.0,True,90.16,90-92,0.893636,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,24.5,-116.0,-119 to -100,betmgm,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-warriors,,,,,,WIN,1.0,0.862069,,,EXACT_EXTERNAL_LINE_VALID_ODDS,24.5,-116.0,betmgm,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-warriors,True,True,0.0,0.0,0.0,WIN,1.0,0.862069
2025-11-01,5,Cooper Flagg,DAL,0022500147,REB,OVER,A,2025-11,6.5,5-9.5,8.0,True,90.71,90-92,0.860843,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,6.5,-116.5,-119 to -100,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494430&market=rebounds,,,,,,WIN,1.0,0.858369,,,EXACT_EXTERNAL_LINE_VALID_ODDS,6.5,-116.5,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494430&market=rebounds,True,True,0.0,0.0,0.0,WIN,1.0,0.858369
2025-11-01,6,LaMelo Ball,CHA,0022500143,AST,OVER,A,2025-11,7.5,5-9.5,8.0,True,90.16,90-92,0.836793,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,7.5,-142.5,-149 to -120,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494380&market=assists,,,,,,WIN,1.0,0.701754,,,EXACT_EXTERNAL_LINE_VALID_ODDS,7.5,-142.5,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494380&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,0.701754
2025-11-02,1,Ajay Mitchell,OKC,0022500148,AST,OVER,S,2025-11,2.5,<5,8.0,True,94.8,94+,0.848772,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,2.5,-140.0,-149 to -120,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494450&market=assists,,,,,,WIN,1.0,0.714286,,,EXACT_EXTERNAL_LINE_VALID_ODDS,2.5,-140.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494450&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,0.714286
2025-11-02,2,Jamal Shead,TOR,0022500152,AST,OVER,S,2025-11,4.0,<5,5.0,True,94.8,94+,0.835156,0.80-0.85,NO_EXACT_LINE_MATCH,False,2,1,0,3.5,-137.0,-149 to -120,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494480&market=assists,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,3.5,-137.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494480&market=assists,True,False,-0.5,0.5,-0.5,WIN,1.0,0.729927
2025-11-02,3,Jose Alvarado,NOP,0022500148,REB,OVER,S,2025-11,1.5,<5,2.0,True,93.7,92-94,0.791644,0.75-0.80,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,1.5,-105.0,-119 to -100,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494450&market=rebounds,,,,,,WIN,1.0,0.952381,,,EXACT_EXTERNAL_LINE_VALID_ODDS,1.5,-105.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494450&market=rebounds,True,True,0.0,0.0,0.0,WIN,1.0,0.952381
2025-11-02,4,Victor Wembanyama,SAS,0022500154,PTS,UNDER,A,2025-11,28.0,25-29.5,9.0,True,90.16,90-92,0.898913,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,28.5,-115.5,-119 to -100,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494460&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,28.5,-115.5,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494460&market=points,True,False,0.5,0.5,-0.5,WIN,1.0,0.865801
2025-11-02,5,Nickeil Alexander-Walker,ATL,0022500151,PRA,UNDER,A,2025-11,28.5,25-29.5,24.0,True,90.16,90-92,0.898741,0.85-0.90,NO_PLAYER_MARKET_LINE,False,0,0,0,,,UNKNOWN,,,,,,,,,,,,,,INTERNAL_MODEL_LINE_ASSUMED_ODDS,28.5,-110.0,assumed,internal-model-line-assumed-odds,,False,False,0.0,0.0,0.0,WIN,1.0,0.909091
2025-11-02,6,Andrew Wiggins,MIA,0022500155,PTS,UNDER,A,2025-11,19.5,15-19.5,15.0,True,90.16,90-92,0.888832,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,20.5,-118.0,-119 to -100,prizepicks,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494500&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,20.5,-118.0,prizepicks,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494500&market=points,True,False,1.0,1.0,-1.0,WIN,1.0,0.847458
2025-11-03,1,Nique Clifford,SAC,0022500162,REB,UNDER,S,2025-11,2.5,<5,1.0,True,94.8,94+,0.857281,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,2.5,-120.0,-149 to -120,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494740&market=rebounds,,,,,,WIN,1.0,0.833333,,,EXACT_EXTERNAL_LINE_VALID_ODDS,2.5,-120.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494740&market=rebounds,True,True,0.0,0.0,0.0,WIN,1.0,0.833333
2025-11-03,2,Josh Hart,NYK,0022500159,PTS,OVER,S,2025-11,8.5,5-9.5,12.0,True,94.8,94+,0.848449,0.80-0.85,NO_EXACT_LINE_MATCH,False,2,1,0,8.0,100.0,+100 to +149,prizepicks,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494560&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,8.0,100.0,prizepicks,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494560&market=points,True,False,-0.5,0.5,-0.5,WIN,1.0,1.0
2025-11-03,3,Isaiah Stewart,DET,0022500161,AST,OVER,S,2025-11,1.5,<5,4.0,True,94.8,94+,0.839328,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,1.5,-131.0,-149 to -120,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494660&market=assists,,,,,,WIN,1.0,0.763359,,,EXACT_EXTERNAL_LINE_VALID_ODDS,1.5,-131.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494660&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,0.763359
2025-11-03,4,Klay Thompson,DAL,0022500160,AST,OVER,S,2025-11,1.5,<5,3.0,True,94.25,94+,0.809767,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,1.5,120.0,+100 to +149,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494680&market=assists,,,,,,WIN,1.0,1.2,,,EXACT_EXTERNAL_LINE_VALID_ODDS,1.5,120.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494680&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,1.2
2025-11-03,5,Payton Pritchard,BOS,0022500158,PRA,UNDER,A,2025-11,27.5,25-29.5,26.0,True,90.16,90-92,0.905155,0.90+,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,27.5,-120.0,-149 to -120,caesars,scoresandodds,https://www.scoresandodds.com/nba/celtics-vs-jazz,,,,,,WIN,1.0,0.833333,,,EXACT_EXTERNAL_LINE_VALID_ODDS,27.5,-120.0,caesars,scoresandodds,https://www.scoresandodds.com/nba/celtics-vs-jazz,True,True,0.0,0.0,0.0,WIN,1.0,0.833333
2025-11-03,6,Shaedon Sharpe,POR,0022500163,PTS,OVER,A,2025-11,19.5,15-19.5,23.0,True,90.71,90-92,0.898987,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,19.5,-118.0,-119 to -100,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494780&market=points,,,,,,WIN,1.0,0.847458,,,EXACT_EXTERNAL_LINE_VALID_ODDS,19.5,-118.0,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494780&market=points,True,True,0.0,0.0,0.0,WIN,1.0,0.847458
2025-11-04,1,Nikola Vučević,CHI,0022500167,REB,UNDER,S,2025-11,10.5,10-14.5,10.0,True,95.15,94+,0.905416,0.90+,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,10.5,-123.5,-149 to -120,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494610&market=rebounds,,,,,,WIN,1.0,0.809717,,,EXACT_EXTERNAL_LINE_VALID_ODDS,10.5,-123.5,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494610&market=rebounds,True,True,0.0,0.0,0.0,WIN,1.0,0.809717
2025-11-04,2,Bobby Portis,MIL,0022500165,AST,OVER,S,2025-11,1.5,<5,2.0,True,94.25,94+,0.818382,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,1.5,120.0,+100 to +149,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494570&market=assists,,,,,,WIN,1.0,1.2,,,EXACT_EXTERNAL_LINE_VALID_ODDS,1.5,120.0,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494570&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,1.2
2025-11-04,3,VJ Edgecombe,PHI,0022500167,PTS,UNDER,A,2025-11,15.5,15-19.5,12.0,True,91.06,90-92,0.908429,0.90+,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,15.5,-116.0,-119 to -100,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494610&market=points,,,,,,WIN,1.0,0.862069,,,EXACT_EXTERNAL_LINE_VALID_ODDS,15.5,-116.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494610&market=points,True,True,0.0,0.0,0.0,WIN,1.0,0.862069
2025-11-04,4,Grayson Allen,PHX,0022500169,PRA,OVER,A,2025-11,15.5,15-19.5,25.0,True,90.16,90-92,0.899805,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,27.5,-125.0,-149 to -120,fanduel,scoresandodds,https://www.scoresandodds.com/nba/suns-vs-warriors,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,27.5,-125.0,fanduel,scoresandodds,https://www.scoresandodds.com/nba/suns-vs-warriors,True,False,12.0,12.0,12.0,LOSS,1.0,-1.0
2025-11-04,5,Isaiah Hartenstein,OKC,0022500170,REB,UNDER,A,2025-11,8.5,5-9.5,7.0,True,90.71,90-92,0.881463,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,9.5,-110.0,-119 to -100,underdog,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494630&market=rebounds,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,9.5,-110.0,underdog,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494630&market=rebounds,True,False,1.0,1.0,-1.0,WIN,1.0,0.909091
2025-11-04,6,Desmond Bane,ORL,0022500166,PTS,UNDER,A,2025-11,16.5,15-19.5,9.0,True,90.16,90-92,0.869275,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,17.5,-115.0,-119 to -100,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494580&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,17.5,-115.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494580&market=points,True,False,1.0,1.0,-1.0,WIN,1.0,0.869565
2025-11-05,1,Alex Sarr,WAS,0022500174,PTS,OVER,S,2025-11,15.5,15-19.5,31.0,True,94.8,94+,0.849738,0.80-0.85,NO_EXACT_LINE_MATCH,False,2,1,0,14.5,-111.5,-119 to -100,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494710&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,14.5,-111.5,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494710&market=points,True,False,-1.0,1.0,-1.0,WIN,1.0,0.896861
2025-11-05,2,Pelle Larsson,MIA,0022500178,AST,OVER,S,2025-11,2.5,<5,3.0,True,94.8,94+,0.847123,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,2.5,122.0,+100 to +149,fanduel,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494810&market=assists,,,,,,WIN,1.0,1.22,,,EXACT_EXTERNAL_LINE_VALID_ODDS,2.5,122.0,fanduel,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494810&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,1.22
2025-11-05,3,Jalen Duren,DET,0022500172,PTS,OVER,S,2025-11,16.5,15-19.5,22.0,True,94.8,94+,0.842617,0.80-0.85,NO_EXACT_LINE_MATCH,False,2,1,0,14.5,-119.0,-119 to -100,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494690&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,14.5,-119.0,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494690&market=points,True,False,-2.0,2.0,-2.0,WIN,1.0,0.840336
2025-11-05,4,Klay Thompson,DAL,0022500177,AST,OVER,S,2025-11,1.5,<5,3.0,True,94.25,94+,0.805962,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,1.5,119.0,+100 to +149,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494770&market=assists,,,,,,WIN,1.0,1.19,,,EXACT_EXTERNAL_LINE_VALID_ODDS,1.5,119.0,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494770&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,1.19
2025-11-05,5,Mikal Bridges,NYK,0022500175,PRA,UNDER,A,2025-11,28.5,25-29.5,19.0,True,90.16,90-92,0.904527,0.90+,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,28.5,-125.0,-149 to -120,draftkings,scoresandodds,https://www.scoresandodds.com/nba/knicks-vs-timberwolves,,,,,,WIN,1.0,0.8,,,EXACT_EXTERNAL_LINE_VALID_ODDS,28.5,-125.0,draftkings,scoresandodds,https://www.scoresandodds.com/nba/knicks-vs-timberwolves,True,True,0.0,0.0,0.0,WIN,1.0,0.8
2025-11-05,6,VJ Edgecombe,PHI,0022500171,REB,UNDER,A,2025-11,4.5,<5,4.0,True,91.06,90-92,0.885373,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,5.5,-106.0,-119 to -100,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494650&market=rebounds,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,5.5,-106.0,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494650&market=rebounds,True,False,1.0,1.0,-1.0,WIN,1.0,0.943396
